"mother_age_group","partner_age_group","p","p_lower","p_higher","se","n","uf"
"60-69","70+",0.309543344032406,0.168481439246152,0.450605248818661,0.0719716820813713,84,"13"
"20-29","70+",0,0,0,0,179,"13"
"70+","70+",0.758444005051472,0.611102352058852,0.905785658044092,0.0751756941223573,34,"13"
"10-19","70+",0,0,0,0,26,"13"
"50-59","10-19",0,0,0,0,137,"13"
"40-49","10-19",0,0,0,0,189,"13"
"30-39","10-19",0.00425388654943561,-0.00404603539610442,0.0125538084949756,0.00423473186803878,285,"13"
"60-69","10-19",0,0,0,0,84,"13"
"20-29","10-19",0.011401726522504,-0.00320428117595234,0.0260077342209603,0.0074521816796975,179,"13"
"70+","10-19",0,0,0,0,34,"13"
"10-19","10-19",0.202975798785074,0.0438974127197798,0.362054184850368,0.0811639332763684,26,"13"
"50-59","60-69",0.303979459049022,0.175091267716759,0.432867650381284,0.0657604896564,100,"14"
"40-49","60-69",0.0783401454667216,0.00689749169087228,0.149782799242571,0.0364510033548473,124,"14"
"30-39","60-69",0.0324474887535217,0.00529070994295218,0.0596042675640911,0.0138557539958789,176,"14"
"60-69","60-69",0.597645348137306,0.452485280733426,0.742805415541186,0.0740626197975494,45,"14"
"20-29","60-69",0,0,0,0,132,"14"
"70+","60-69",0.0248795881189168,-0.0246427382698249,0.0744019145076585,0.0252669573417509,18,"14"
"10-19","60-69",0,0,0,0,28,"14"
"50-59","50-59",0.493887802713933,0.365237164963659,0.622538440464208,0.065639286622129,100,"14"
"40-49","50-59",0.265052324173957,0.188040840874448,0.342063807473466,0.0392922951171379,124,"14"
"30-39","50-59",0.0472097227858116,0.0178584583635419,0.0765609872080813,0.0149754100859958,176,"14"
"60-69","50-59",0.0292079066020027,-0.0280654157733817,0.0864812289773872,0.0292216197987051,45,"14"
"20-29","50-59",0.0222773522690757,-0.00285192684621898,0.0474066313843703,0.012821296367439,132,"14"
"70+","50-59",0.0108365967650569,-0.0111281879669931,0.0328013814971069,0.0112067287487451,18,"14"
"10-19","50-59",0,0,0,0,28,"14"
"50-59","30-39",0.0482648690133702,0.00578020740221312,0.0907495306245272,0.0216762460669026,100,"14"
"40-49","30-39",0.170560413435643,0.0889294860979011,0.252191340773386,0.0416491976289547,124,"14"
"30-39","30-39",0.531610194657041,0.452969405167337,0.610250984146746,0.0401235890608261,176,"14"
"60-69","30-39",0,0,0,0,45,"14"
"20-29","30-39",0.281396146135553,0.18803262362223,0.374759668648875,0.047635325572185,132,"14"
"70+","30-39",0,0,0,0,18,"14"
"10-19","30-39",0.183746122758418,0.00905569951844282,0.358436545998394,0.0891294047328989,28,"14"
"50-59","40-49",0.147047346994359,0.0650514919095538,0.229043202079165,0.0418353886763115,100,"14"
"40-49","40-49",0.45147750977361,0.346153361260301,0.556801658286919,0.0537377979106211,124,"14"
"30-39","40-49",0.292743742758861,0.229173306840924,0.356314178676797,0.0324344918678977,176,"14"
"60-69","40-49",0.0339958346116433,-0.0320636181669123,0.100055287390199,0.0337044217646978,45,"14"
"20-29","40-49",0.0988198816997063,0.0349629631736671,0.162676800225746,0.0325806591497265,132,"14"
"70+","40-49",0,0,0,0,18,"14"
"10-19","40-49",0,0,0,0,28,"14"
"50-59","20-29",0,0,0,0,100,"14"
"40-49","20-29",0.0345696071500685,0.000296021187597251,0.0688431931125398,0.0174868447751168,124,"14"
"30-39","20-29",0.0869949799056553,0.0335702931416523,0.140419666669658,0.0272579941189788,176,"14"
"60-69","20-29",0,0,0,0,45,"14"
"20-29","20-29",0.597506619895666,0.509578365110361,0.685434874680971,0.044862178835362,132,"14"
"70+","20-29",0,0,0,0,18,"14"
"10-19","20-29",0.728020880035541,0.555508932041037,0.900532828030045,0.088017917347082,28,"14"
"50-59","70+",0.0068205222293164,-0.00666318217678217,0.020304226635415,0.00687956743718574,100,"14"
"40-49","70+",0,0,0,0,124,"14"
"30-39","70+",0.00447276997972284,-0.00429000083649488,0.0132355407959406,0.00447088359038091,176,"14"
"60-69","70+",0.339150910649048,0.195767701094275,0.482534120203822,0.0731560430118931,45,"14"
"20-29","70+",0,0,0,0,132,"14"
"70+","70+",0.964283815116026,0.909677641074468,1.01888998915758,0.0278608048271726,18,"14"
"10-19","70+",0,0,0,0,28,"14"
"50-59","10-19",0,0,0,0,100,"14"
"40-49","10-19",0,0,0,0,124,"14"
"30-39","10-19",0.00452110115938723,-0.00432641832037814,0.0133686206391526,0.0045141234989793,176,"14"
"60-69","10-19",0,0,0,0,45,"14"
"20-29","10-19",0,0,0,0,132,"14"
"70+","10-19",0,0,0,0,18,"14"
"10-19","10-19",0.0882329972060407,-0.0352424309896303,0.211708425401712,0.0629988250649652,28,"14"
"50-59","60-69",0.271838028693822,0.198154333701334,0.34552172368631,0.0375944127410991,152,"15"
"40-49","60-69",0.0584442560347533,0.0208975992191515,0.0959909128503552,0.0191568095698519,223,"15"
"30-39","60-69",0.00661159267461108,-0.000322343642008282,0.0135455289912304,0.00353778761819777,286,"15"
"60-69","60-69",0.509909332890948,0.396976570329265,0.62284209545263,0.0576198151866472,112,"15"
"20-29","60-69",0,0,0,0,224,"15"
"70+","60-69",0.0900996536232205,0.0178115954942634,0.162387711752178,0.0368823400323456,51,"15"
"10-19","60-69",0,0,0,0,31,"15"
"50-59","50-59",0.474012238250734,0.374195002722089,0.573829473779378,0.0509280967997321,152,"15"
"40-49","50-59",0.306311766752428,0.235233021934859,0.377390511569997,0.0362653321072374,223,"15"
"30-39","50-59",0.0526031093143441,0.0229582982859501,0.0822479203427381,0.015125181514675,286,"15"
"60-69","50-59",0.160991109858418,0.0870667144455065,0.234915505271329,0.0377172213346865,112,"15"
"20-29","50-59",0.00207840858031863,-0.00206218230127922,0.00621899946191648,0.00211258518741074,224,"15"
"70+","50-59",0.0163594359210228,-0.0160914341957221,0.0488103060377678,0.0165568706224774,51,"15"
"10-19","50-59",0,0,0,0,31,"15"
"50-59","30-39",0.0368410667450657,-0.00528537354877597,0.0789675070389073,0.021493476730251,152,"15"
"40-49","30-39",0.108622596510918,0.0601576498235788,0.157087543198256,0.0247274679890162,223,"15"
"30-39","30-39",0.548923715097176,0.476317600612583,0.621529829581769,0.0370446166650514,286,"15"
"60-69","30-39",0.0117242839393028,-0.0110470311199952,0.0344955989986008,0.0116182313751249,112,"15"
"20-29","30-39",0.437358995997262,0.353858423496787,0.520859568497737,0.042603115750655,224,"15"
"70+","30-39",0,0,0,0,51,"15"
"10-19","30-39",0.0427992117508006,-0.0151160185079288,0.10071444200953,0.0295491298388937,31,"15"
"50-59","40-49",0.166711715386792,0.0958746678553955,0.237548762918189,0.03614201489933,152,"15"
"40-49","40-49",0.512050413387593,0.443476604636178,0.580624222139008,0.0349872800175495,223,"15"
"30-39","40-49",0.297835456564078,0.236264680302964,0.359406232825192,0.0314142386017174,286,"15"
"60-69","40-49",0.0232945626825165,-0.0054717132492818,0.0520608386143147,0.0146769410860113,112,"15"
"20-29","40-49",0.0449261906184608,0.0198077842080485,0.0700445970288732,0.0128157489670949,224,"15"
"70+","40-49",0,0,0,0,51,"15"
"10-19","40-49",0,0,0,0,31,"15"
"50-59","20-29",0.0139913207856378,-0.00647707544576101,0.0344597170170366,0.0104432511989256,152,"15"
"40-49","20-29",0.0078981095401677,-0.00113301595893459,0.01692923503927,0.00460780176081737,223,"15"
"30-39","20-29",0.0855282060541236,0.0499171674654339,0.121139244642813,0.0181692311030126,286,"15"
"60-69","20-29",0.00695234714282887,-0.00670146526832398,0.0206061595539817,0.00696635883049504,112,"15"
"20-29","20-29",0.508665666217363,0.426563525832207,0.590767806602518,0.0418896168668235,224,"15"
"70+","20-29",0,0,0,0,51,"15"
"10-19","20-29",0.770030358348826,0.597104190970122,0.94295652572753,0.08822925765102,31,"15"
"50-59","70+",0.036605630137948,0.00518079168964988,0.0680304685862461,0.016033375458005,152,"15"
"40-49","70+",0.00667285777414055,-0.000960207028489382,0.0143059225767705,0.00389449237987972,223,"15"
"30-39","70+",0.00849792029566667,-0.00772019245541719,0.0247160330467505,0.00827469937152431,286,"15"
"60-69","70+",0.287128363485986,0.181214853349582,0.393041873622389,0.0540384981417188,112,"15"
"20-29","70+",0,0,0,0,224,"15"
"70+","70+",0.893540910455756,0.812883285326595,0.974198535584918,0.0411526057444824,51,"15"
"10-19","70+",0,0,0,0,31,"15"
"50-59","10-19",0,0,0,0,152,"15"
"40-49","10-19",0,0,0,0,223,"15"
"30-39","10-19",0,0,0,0,286,"15"
"60-69","10-19",0,0,0,0,112,"15"
"20-29","10-19",0.00697073858659596,-0.00282742439209695,0.0167689015652889,0.00499915460487007,224,"15"
"70+","10-19",0,0,0,0,51,"15"
"10-19","10-19",0.187170429900373,0.0199602610005015,0.354380598800245,0.085312878307359,31,"15"
"50-59","60-69",0.433487485172424,0.269887123312907,0.597087847031941,0.0834711061784686,44,"16"
"40-49","60-69",0.0516361865070853,0.00532180398323313,0.0979505690309375,0.0236302212128254,99,"16"
"30-39","60-69",0.00832884204012221,-0.007753545788709,0.0244112298689534,0.00820545068975095,119,"16"
"60-69","60-69",0.569033440169802,0.380499320545994,0.75756755979361,0.0961926449215093,33,"16"
"20-29","60-69",0.0161233314744056,-0.0079653194259967,0.040211982374808,0.0122903538485455,79,"16"
"70+","60-69",0,0,0,0,10,"16"
"10-19","60-69",0,0,0,0,15,"16"
"50-59","50-59",0.340378784376817,0.199342978002363,0.481414590751271,0.0719583663204663,44,"16"
"40-49","50-59",0.217816061714924,0.131982443969225,0.303649679460623,0.0437934668303823,99,"16"
"30-39","50-59",0.0634779892825098,0.0118776130577268,0.115078365507293,0.0263272063322593,119,"16"
"60-69","50-59",0.148718396564031,0.0129060717727485,0.284530721355314,0.0692932757247343,33,"16"
"20-29","50-59",0.0134138089579374,-0.0123478820164533,0.0391754999323282,0.0131439614082686,79,"16"
"70+","50-59",0.0474691190433699,-0.0520937248202454,0.147031962906985,0.0507983027489047,10,"16"
"10-19","50-59",0,0,0,0,15,"16"
"50-59","30-39",0.0842904882645351,-0.0437085681843133,0.212289544713383,0.0653068410738609,44,"16"
"40-49","30-39",0.0950533010628883,0.0300281319536991,0.160078470172078,0.0331767163183097,99,"16"
"30-39","30-39",0.538115507979072,0.417090497298007,0.659140518660136,0.0617485890739292,119,"16"
"60-69","30-39",0.0748102797180456,-0.0635593926907409,0.213179952126832,0.0705980688932189,33,"16"
"20-29","30-39",0.250787594414236,0.100894241414018,0.400680947414454,0.0764776058042685,79,"16"
"70+","30-39",0,0,0,0,10,"16"
"10-19","30-39",0.0366685971223894,-0.0369112284995104,0.110248422744289,0.0375414171904627,15,"16"
"50-59","40-49",0.0861214388429068,-0.0113061262453109,0.183549003931125,0.0497088547834113,44,"16"
"40-49","40-49",0.600744668124931,0.474533475871911,0.726955860377951,0.0643946487019956,99,"16"
"30-39","40-49",0.281095213016753,0.194335003243248,0.367855422790258,0.0442662265520481,119,"16"
"60-69","40-49",0.0404527320465175,-0.0181352156790273,0.0990406797720624,0.0298923593431712,33,"16"
"20-29","40-49",0.0280991600028482,-0.00961076527594037,0.0658090852816368,0.0192401113368611,79,"16"
"70+","40-49",0,0,0,0,10,"16"
"10-19","40-49",0,0,0,0,15,"16"
"50-59","20-29",0,0,0,0,44,"16"
"40-49","20-29",0.0270864531383315,-0.00388422197055263,0.0580571282472157,0.0158016552105941,99,"16"
"30-39","20-29",0.0970949304876436,0.0357387896728826,0.158451071302405,0.0313047287086551,119,"16"
"60-69","20-29",0,0,0,0,33,"16"
"20-29","20-29",0.669762517997005,0.484012852779429,0.855512183214581,0.0947719788132567,79,"16"
"70+","20-29",0,0,0,0,10,"16"
"10-19","20-29",0.762710071235082,0.550792136704762,0.974628005765403,0.108123381961047,15,"16"
"50-59","70+",0.0557218033433174,-0.0248621648962587,0.136305771582893,0.0411150250082206,44,"16"
"40-49","70+",0.00766332945183992,-0.00716459392054735,0.0224912528242272,0.00756540604283958,99,"16"
"30-39","70+",0.0118875171938992,-0.0106860213126704,0.0344610557004688,0.0115173231164587,119,"16"
"60-69","70+",0.166985151501604,0.0417802017055904,0.292190101297618,0.063881250259502,33,"16"
"20-29","70+",0,0,0,0,79,"16"
"70+","70+",0.95253088095663,0.852968037093015,1.05209372482025,0.0507983027489047,10,"16"
"10-19","70+",0,0,0,0,15,"16"
"50-59","10-19",0,0,0,0,44,"16"
"40-49","10-19",0,0,0,0,99,"16"
"30-39","10-19",0,0,0,0,119,"16"
"60-69","10-19",0,0,0,0,33,"16"
"20-29","10-19",0.0218135871535674,-0.00953679512796611,0.0531639694351008,0.0159953869197706,79,"16"
"70+","10-19",0,0,0,0,10,"16"
"10-19","10-19",0.200621331642528,-0.00555212884785139,0.406794792132908,0.105192474002915,15,"16"
"50-59","60-69",0.235566420479765,0.122142540872103,0.348990300087428,0.0578703897124313,85,"17"
"40-49","60-69",0.048811687133139,0.00250535272940466,0.0951180215368733,0.0236261149536383,119,"17"
"30-39","60-69",0.00437316181054733,-0.00425782807167403,0.0130041516927687,0.00440364718448987,141,"17"
"60-69","60-69",0.553361556974527,0.432050072308935,0.674673041640119,0.0618947519558938,65,"17"
"20-29","60-69",0.0119381276638833,-0.0111108222447283,0.0349870775724949,0.0117598844113559,103,"17"
"70+","60-69",0.211304654617884,0.0099221099547685,0.412687199280999,0.102748084276851,24,"17"
"10-19","60-69",0,0,0,0,6,"17"
"50-59","50-59",0.611975157441966,0.488572080871017,0.735378234012915,0.0629619102924017,85,"17"
"40-49","50-59",0.357921979536596,0.26749683502599,0.448347124047202,0.0461361255736678,119,"17"
"30-39","50-59",0.0595968778650943,0.0213504599450249,0.0978432957851636,0.0195138371019836,141,"17"
"60-69","50-59",0.0489764242647727,-0.00668031199323731,0.104633160522783,0.028396815807343,65,"17"
"20-29","50-59",0.0246476855180889,-0.00442483595990309,0.0537202069960809,0.0148331916848025,103,"17"
"70+","50-59",0,0,0,0,24,"17"
"10-19","50-59",0,0,0,0,6,"17"
"50-59","30-39",0.0550250584929898,-0.00484132532120497,0.114891442307185,0.0305446346394185,85,"17"
"40-49","30-39",0.16702086378174,0.085175603502158,0.248866124061322,0.0417585531801437,119,"17"
"30-39","30-39",0.579195475355738,0.490546067718745,0.667844882992732,0.0452301207247933,141,"17"
"60-69","30-39",0.0196246894059553,-0.0192169264129229,0.0584663052248336,0.0198175150794892,65,"17"
"20-29","30-39",0.422962819837385,0.321920993598492,0.524004646076278,0.0515528994593258,103,"17"
"70+","30-39",0,0,0,0,24,"17"
"10-19","30-39",0.148423260942392,-0.08764532752407,0.384491849408855,0.120445370592797,6,"17"
"50-59","40-49",0.0764171467907405,0.0106150788516056,0.142219214729875,0.033573100556017,85,"17"
"40-49","40-49",0.397492777511438,0.301655449859107,0.493330105163769,0.0488974942439166,119,"17"
"30-39","40-49",0.334277155902423,0.252079572700834,0.416474739104012,0.0419383130761347,141,"17"
"60-69","40-49",0,0,0,0,65,"17"
"20-29","40-49",0.0858928550264556,0.0138866812047215,0.15789902884819,0.0367385188655045,103,"17"
"70+","40-49",0.019967286302169,-0.0196122534424435,0.0595468260467816,0.0201940137965855,24,"17"
"10-19","40-49",0,0,0,0,6,"17"
"50-59","20-29",0,0,0,0,85,"17"
"40-49","20-29",0.00849521114781862,-0.0033294431250047,0.0203198654206419,0.00603309773347606,119,"17"
"30-39","20-29",0.0225573290661968,-0.00601629793913642,0.0511309560715299,0.0145786490112667,141,"17"
"60-69","20-29",0.00835820821805776,-0.0081390157439645,0.02485543218008,0.00841710566732361,65,"17"
"20-29","20-29",0.449366258554192,0.346436092194358,0.552296424914026,0.0525163560002807,103,"17"
"70+","20-29",0,0,0,0,24,"17"
"10-19","20-29",0.851576739057608,0.615508150591145,1.08764532752407,0.120445370592797,6,"17"
"50-59","70+",0.0210162167945391,-0.0121901745063433,0.0542226080954214,0.0169423476976159,85,"17"
"40-49","70+",0.0202574808892689,-0.00596793971884777,0.0464829014973856,0.0133805625077703,119,"17"
"30-39","70+",0,0,0,0,141,"17"
"60-69","70+",0.354562538725018,0.218936811953159,0.490188265496877,0.0691980709041888,65,"17"
"20-29","70+",0,0,0,0,103,"17"
"70+","70+",0.768728059079947,0.565807860707334,0.97164825745256,0.103532615891527,24,"17"
"10-19","70+",0,0,0,0,6,"17"
"50-59","10-19",0,0,0,0,85,"17"
"40-49","10-19",0,0,0,0,119,"17"
"30-39","10-19",0,0,0,0,141,"17"
